ID,Profile,Profile count,Organisations,Organisations count,Projects,Projects count,Coauthors Projects,Coauthors Projects count,Publications,Publications count,Coauthors Publications,Coauthors Publications count
e011bd37-a5a1-46af-bf93-cf0a36b66ab5,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.1 0.  0.  0.  0.9 0.  0.  0.
 0.  0.  0.  0.  0.  0. ]","(1, 1)","[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.5 0.  0.5 0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0. ]","(1, 2)","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.09090909 0.
 0.         0.09090909 0.81818182 0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]","(1, 1)","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","(1, 1)","[0.      0.      0.      0.      0.      0.      0.      0.      0.
 0.      0.      0.      0.      0.      0.      0.      0.      0.
 0.      0.      0.      0.      0.      0.      0.      0.      0.
 0.      0.      0.      0.09375 0.      0.8125  0.09375 0.      0.
 0.      0.      0.      0.      0.      0.     ]","(0.5714285714285714, 8)","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","(0.8333333333333334, 6.0)"
8834112c-33f1-4ee6-8a34-9c09a7b71535,"[0.   0.   0.   0.05 0.   0.25 0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.25 0.2  0.   0.   0.   0.25 0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  ]","(1, 1)","[0.         0.         0.         0.33333333 0.         0.33333333
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.33333333
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]","(1, 3)","[0.         0.00085066 0.         0.00100256 0.         0.32714519
 0.         0.04678606 0.         0.         0.         0.02682401
 0.0080376  0.05359403 0.02411281 0.00085066 0.         0.16773545
 0.14304618 0.00793945 0.         0.01584042 0.16773545 0.
 0.         0.00849947 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]","(0.9756549083255142, 49)","[0.02723652 0.00306373 0.         0.02881618 0.         0.22415261
 0.         0.         0.         0.00382966 0.         0.
 0.00220588 0.03750836 0.02637667 0.00076593 0.         0.20416184
 0.14430268 0.00298713 0.00749737 0.01747738 0.2314865  0.0073989
 0.00266544 0.02048319 0.00758403 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]","(1, 45)","[0.         0.         0.01386179 0.06912997 0.         0.11728492
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.0057842  0.78742654 0.
 0.         0.00651258 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]","(0.6640359324826586, 176)","[7.68806305e-04 4.79653006e-03 2.46983668e-03 2.45937667e-02
 0.00000000e+00 2.04432762e-01 6.58081484e-04 0.00000000e+00
 5.34821777e-03 1.29991404e-04 7.37051262e-03 1.87187622e-03
 8.96182605e-03 2.26380352e-02 4.48412710e-02 1.72130484e-03
 0.00000000e+00 1.85278969e-01 1.42057456e-01 1.02135790e-02
 1.19900985e-02 1.90720312e-02 2.26080228e-01 4.56101425e-03
 3.37185433e-02 2.18421771e-02 5.31729839e-03 2.52703290e-03
 1.68468860e-03 1.68468860e-03 1.68468860e-03 0.00000000e+00
 1.68468860e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00]","(0.4317550667068829, 816.5)"
b73e0e47-ad11-4ce7-a065-2993e6c3b602,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","(0.0, 1)","[0.         0.         0.03125    0.         0.32291667 0.03125
 0.03125    0.         0.22916667 0.         0.16666667 0.03125
 0.         0.         0.         0.         0.03125    0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.09375    0.         0.         0.03125    0.         0.        ]","(0.6666666666666667, 3)","[0.01973684 0.         0.         0.01973684 0.39276316 0.01973684
 0.06447368 0.         0.11513158 0.         0.33157895 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.03684211 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]","(1, 7)","[0.         0.         0.00578704 0.00440917 0.26404321 0.05566578
 0.01460538 0.00440917 0.47901235 0.         0.         0.0308642
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.10416667 0.         0.         0.         0.         0.03703704]","(0.953125, 11)","[0.         0.         0.         0.         0.0151545  0.
 0.06137571 0.         0.         0.09092698 0.         0.
 0.         0.         0.51847405 0.         0.20943056 0.
 0.         0.020206   0.         0.         0.         0.
 0.         0.         0.         0.0844322  0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]","(0.2577460787695556, 85)","[0.0018759  0.02118172 0.         0.00399386 0.03844438 0.
 0.56699733 0.         0.20059691 0.         0.         0.
 0.         0.00342331 0.         0.03821216 0.0018759  0.
 0.         0.         0.         0.         0.         0.
 0.12278409 0.         0.         0.         0.00061444 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]","(0.6045274624670345, 244.0)"
f19619e2-340d-47ef-9792-35d2436febc4,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","(1, 1)","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","(1, 1)","[0.         0.         0.         0.         0.         0.03447038
 0.         0.03447038 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.10691733 0.
 0.         0.04328383 0.7275     0.00392729 0.         0.0459605
 0.0034703  0.         0.         0.         0.         0.        ]","(1, 30)","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.80018260e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.85830430e-04
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.17073171e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00
 9.42489457e-02 1.99556541e-03 1.84664766e-02 2.09312639e-02
 8.01549150e-01 1.69163328e-02 0.00000000e+00 2.29555237e-04
 9.39132412e-03 7.80487805e-04 1.33307993e-02 2.40150094e-03
 4.06526807e-03 0.00000000e+00]","(1, 49)","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.02289113 0.         0.         0.
 0.         0.00828441 0.00828441 0.         0.         0.
 0.         0.         0.         0.         0.18709999 0.
 0.04425619 0.13211455 0.37437127 0.19490166 0.         0.02289113
 0.00490524 0.         0.         0.         0.         0.        ]","(0.5015773990631469, 201)","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 5.07847152e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00
 5.24850536e-02 3.36937053e-04 2.09328966e-03 2.85888073e-02
 8.76833304e-01 2.79051430e-02 3.17404470e-04 3.20578515e-03
 2.16002598e-03 0.00000000e+00 1.49366809e-04 0.00000000e+00
 8.46411920e-04 0.00000000e+00]","(0.4741607742427479, 376.0)"
45230f30-5ba1-4ba1-a305-1307392c1cc1,"[0.         0.         0.         0.         0.41666667 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.58333333 0.         0.         0.         0.         0.        ]","(1, 1)","[0.  0.  0.  0.  0.  0.  0.5 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.5 0.  0.  0.  0.  0. ]","(1, 2)","[0.         0.         0.         0.         0.17347368 0.05473684
 0.128      0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.02736842 0.         0.         0.         0.         0.
 0.61642105 0.         0.         0.         0.         0.        ]","(1, 3)","[0.         0.         0.         0.         0.         0.08080808
 0.15488215 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.06060606 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.7037037  0.         0.         0.         0.         0.        ]","(1, 5)","[0.         0.         0.         0.         0.01691956 0.
 0.07989795 0.         0.         0.         0.         0.
 0.         0.         0.00939976 0.         0.22606419 0.
 0.         0.         0.         0.         0.         0.
 0.00939976 0.         0.         0.         0.         0.
 0.09366188 0.         0.         0.         0.         0.
 0.56465691 0.         0.         0.         0.         0.        ]","(0.37675806941212187, 46)","[0.04292613 0.         0.         0.         0.16695396 0.0301458
 0.06838232 0.         0.         0.         0.         0.
 0.         0.         0.00274237 0.         0.04292613 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.63756558 0.         0.         0.         0.00835771 0.        ]","(0.5470085470085471, 117.0)"
3de615bf-4167-4fa5-a4d3-0dac8248798a,"[0.  0.  0.  0.  0.  0.  0.  0.  0.4 0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.6 0.  0. ]","(1, 1)","[0.  0.  0.  0.  0.  0.  0.  0.  0.6 0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.4 0.  0. ]","(1, 3)","[0.         0.         0.         0.         0.         0.
 0.         0.         0.56870961 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.0374415  0.
 0.16973479 0.         0.0599064  0.02080083 0.         0.
 0.         0.         0.         0.14340688 0.         0.        ]","(1, 12)","[0.         0.         0.         0.         0.         0.
 0.         0.         0.60065493 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.04240688 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.05157593 0.         0.         0.         0.         0.
 0.04240688 0.         0.         0.26295538 0.         0.        ]","(0.8505050505050505, 15)","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.04834254 0.14502762
 0.01381215 0.         0.03222836 0.0805709  0.         0.
 0.         0.         0.         0.68001842 0.         0.        ]","(0.6251709001942866, 52)","[0.         0.         0.         0.         0.         0.
 0.         0.         0.62453732 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.04993649 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.04993649 0.         0.         0.27558969 0.         0.        ]","(0.31588619859877765, 110.0)"
05e00835-520a-4d3b-8e53-fbe03c1e43c7,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","(1, 1)","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.20833333 0.         0.         0.         0.125
 0.         0.         0.04166667 0.         0.625      0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]","(1, 2)","[0.         0.         0.01463018 0.         0.         0.06502303
 0.         0.         0.         0.00812788 0.         0.
 0.04389054 0.16391222 0.         0.         0.01463018 0.39176375
 0.         0.00325115 0.01354646 0.         0.27797345 0.00325115
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]","(1, 13)","[0.         0.         0.01955034 0.00481239 0.         0.35125448
 0.         0.         0.         0.00782014 0.         0.
 0.00391007 0.0224171  0.         0.         0.         0.08801727
 0.00521342 0.00130336 0.00709013 0.         0.47527696 0.00130336
 0.01203098 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]","(1, 23)","[0.         0.         0.         0.05747126 0.         0.
 0.         0.         0.         0.         0.         0.
 0.05747126 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.88505747 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]","(0.5246984491671454, 20)","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","(0.019230769230769232, 52.0)"
acb40a5f-ab6c-4759-90b2-7f2bc628d4a4,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]","(1, 1)","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]","(1, 1)","[0.         0.         0.         0.         0.08789612 0.01503677
 0.01257903 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.00316111 0.         0.         0.         0.         0.
 0.01586679 0.         0.         0.         0.         0.
 0.86546018 0.         0.         0.         0.         0.        ]","(0.9769968051118211, 21)","[0.00624133 0.         0.         0.00273058 0.25869636 0.05679612
 0.10647249 0.         0.         0.         0.         0.
 0.02346278 0.         0.         0.         0.01903921 0.01092233
 0.00819175 0.         0.         0.         0.01092233 0.
 0.01456311 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.41603045 0.05825243 0.         0.00127979 0.00639894 0.        ]","(1, 20)","[0.         0.00079194 0.         0.00395968 0.00576982 0.09708561
 0.072636   0.         0.         0.00079194 0.         0.
 0.         0.         0.00543985 0.         0.21306011 0.
 0.         0.00079194 0.         0.         0.         0.
 0.00197984 0.         0.         0.00079194 0.         0.
 0.1110931  0.         0.         0.00362971 0.         0.
 0.48118861 0.         0.00098992 0.         0.         0.        ]","(0.5290655725119889, 271)","[1.89181986e-02 0.00000000e+00 0.00000000e+00 1.64810940e-02
 2.20536904e-01 4.89955042e-02 5.14535632e-02 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.39123727e-03 0.00000000e+00 2.34000690e-04 0.00000000e+00
 2.80568914e-02 7.32024421e-03 7.32024421e-03 0.00000000e+00
 3.66012211e-03 0.00000000e+00 7.32024421e-03 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 5.67166583e-01 1.18738986e-03 0.00000000e+00 7.04253670e-03
 1.09152417e-02 0.00000000e+00]","(0.4940433074237219, 878.1666666666667)"
d86af692-304d-42dd-bb1f-86d0113be027,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","(1, 1)","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","(1, 1)","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","(1, 1)","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.41666667
 0.         0.         0.5        0.         0.08333333 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]","(1, 3)","[0.         0.         0.         0.         0.         0.10928444
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.03901093 0.         0.05023311 0.         0.45469637 0.
 0.         0.         0.         0.34677514 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]","(0.7568155948323411, 67)","[6.03373894e-02 3.05792010e-03 4.03756320e-03 0.00000000e+00
 0.00000000e+00 1.05610305e-04 0.00000000e+00 2.92459306e-04
 4.43563281e-03 5.13227998e-03 4.96750734e-04 0.00000000e+00
 0.00000000e+00 4.88390461e-03 0.00000000e+00 5.23789028e-03
 0.00000000e+00 3.20248818e-01 7.96748513e-03 2.11220610e-04
 3.66233237e-01 4.54124312e-03 4.62090330e-02 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.32759228e-02
 0.00000000e+00 1.52782040e-01 5.13599589e-04 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00]","(0.5724993015958032, 412.3333333333333)"
e739bf7a-76c2-4e6e-8b6e-4dcf863be95f,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","(1, 1)","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.04761905 0.85714286 0.
 0.         0.         0.         0.04761905 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.04761905
 0.         0.         0.         0.         0.         0.        ]","(1, 3)","[0.         0.05111519 0.         0.         0.         0.01301544
 0.         0.         0.13630716 0.1013886  0.41822669 0.03705851
 0.0976868  0.01107496 0.02555759 0.03376746 0.0244217  0.0063894
 0.         0.         0.0085192  0.         0.0063894  0.
 0.         0.         0.         0.         0.01916819 0.
 0.         0.         0.         0.         0.         0.00991371
 0.         0.         0.         0.         0.         0.        ]","(1, 28)","[0.00995587 0.10097862 0.00216732 0.         0.         0.01049117
 0.         0.         0.00780234 0.11967067 0.4445276  0.
 0.12035111 0.00258046 0.         0.02310321 0.06007802 0.01962865
 0.00719617 0.00254321 0.03109422 0.00583508 0.02169099 0.00167628
 0.         0.         0.         0.0046814  0.         0.
 0.         0.         0.         0.         0.         0.00394761
 0.         0.         0.         0.         0.         0.        ]","(0.9900600100457345, 58)","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.64705882 0.
 0.         0.         0.         0.         0.         0.35294118
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]","(0.04116697416974158, 43)","[0.01425011 0.05662012 0.         0.00232644 0.         0.
 0.         0.         0.02139494 0.07483015 0.46833426 0.
 0.07947747 0.01055322 0.         0.02148561 0.15741322 0.01130908
 0.00744322 0.         0.0290805  0.01512186 0.01670975 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.01365003
 0.         0.         0.         0.         0.         0.        ]","(0.5601170867929669, 164.0)"
86690a80-d34d-4672-b776-265a498d042b,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","(1, 1)","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","(1, 1)","[0.         0.         0.         0.         0.         0.0112555
 0.         0.         0.         0.00390816 0.         0.
 0.         0.00390816 0.         0.00390816 0.         0.26395645
 0.00365804 0.00571568 0.12221593 0.01582804 0.17016065 0.00571568
 0.         0.         0.         0.25444958 0.         0.1259404
 0.         0.         0.         0.         0.00703468 0.
 0.         0.00234489 0.         0.         0.         0.        ]","(0.9609426344944136, 56)","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.01199883 0.         0.
 0.         0.01508267 0.         0.01199883 0.         0.10907525
 0.00308385 0.00292654 0.23548669 0.00658472 0.05760467 0.00539582
 0.         0.         0.         0.01991722 0.         0.52084491
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]","(0.8052385841765298, 146)","[0.         0.         0.00275257 0.         0.         0.07408305
 0.         0.         0.         0.         0.         0.
 0.         0.00068814 0.         0.         0.         0.
 0.05675669 0.00783545 0.02110312 0.         0.40497767 0.
 0.         0.         0.         0.41875172 0.         0.
 0.00943883 0.         0.         0.         0.00361275 0.
 0.         0.         0.         0.         0.         0.        ]","(0.8507076830357213, 315)","[5.75087523e-03 1.62654468e-03 2.10370543e-03 8.56414529e-05
 0.00000000e+00 7.19388204e-04 0.00000000e+00 1.34391203e-04
 0.00000000e+00 1.55192305e-02 3.73121597e-03 0.00000000e+00
 0.00000000e+00 1.60406834e-02 0.00000000e+00 1.61812649e-02
 0.00000000e+00 1.01774824e-01 7.86306438e-03 5.85121437e-03
 2.95953947e-01 8.97686598e-03 5.18320024e-02 1.68713662e-03
 2.77858936e-04 1.06576030e-04 0.00000000e+00 4.82462533e-02
 5.39541153e-04 4.13334528e-01 1.12370601e-03 0.00000000e+00
 5.39541153e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00]","(0.5175506810905187, 1422.8333333333333)"
